id,name,synonyms
1,acceptance,"receive, receiving, taking, obtaining, acquiring, undertaking, assumption, tackling, affirmation, confirmation, ratification, welcome, welcoming, embracing, embrace, approval, adoption, integration, traction, swallowing, toleration, endurance, sufferance, forbearance"
2,admiration,"commendation, acclaim, applause, approbation, approval, appreciation, regard, respect, praise, esteem, veneration, adulation, compliments, tributes, accolades, plaudits, laudation, pride, joy, wonder, delight, marvel, sensation"
3,affection,"fondness, love, liking, endearment, feeling, sentiment, tenderness, warmth, warmness, devotion, care, caring, attentiveness, closeness, attachment, affinity, friendliness, friendship, intimacy, familiarity, amity, favour, regard, respect, admiration"
4,aggravation,"worsen, exacerbate, inflame, compound, intensify, increase, heighten, magnify, amplify, augment, worsening, exacerbation, compounding, intensification, heightening, magnification, amplification, augmentation, nuisance, annoyance, irritant, irritation, hassle, pest, grievance, problem, trouble, difficulty, snag, inconvenience, bother, trial, exasperation, infuriation, vexation, aggro, headache, pain"
5,anger,"annoyance, vexation, exasperation, irritation, irritability, indignation, pique, displeasure, resentment, rage, fury, wrath, outrage, dyspepsia, spleen, aggravation, ire, choler, bile, annoy, irritate, exasperate, irk, vex, provoke, gall, displease, enrage, incense, infuriate, madden, mad, inflame, antagonize, ruffle, peeve, aggravate, needle, bug, nettle, rile, miff, nark, gravel, empurple, pissed"
6,anguish,"agony, pain, torment, torture, suffering, distress, angst, misery, sorrow, grief, heartache, heartbreak, unhappiness, woe, desolation, despair, purgatory, dolour"
7,anxiety,"worry, concern, apprehension, apprehensiveness, consternation, uneasiness, unease, fearfulness, fear, disquiet, disquietude, perturbation, fretfulness, agitation, angst, nervousness, nerves, edginess, tension, tenseness, stress, misgiving, trepidation, foreboding, suspense, collywobbles, jitteriness, jim-jams, twitchiness, worriment, eagerness, keenness, desire, impatience, longing"
8,attraction,"appeal, attractiveness, desirability, seductiveness, seduction, allure, allurement, magnetism, charisma, charm, beauty, glamour, magic, spell, pull, draw, lure, enticement, temptation, inducement, interest, fascination, enchantment, come-on, entertainment, activity, diversion, interest, feature, crowd-pleaser, pull, draw"
9,boredom,"weariness, ennui, apathy, uninterestedness, unconcern, languor, sluggishness, accidie, malaise, world-weariness, frustration, dissatisfaction, restlessness, restiveness, tedium, tediousness, dullness, monotony, repetitiveness, flatness, blandness, sameness, uniformity, routine, humdrum, dreariness, deadliness, sameyness"
10,caution,"care, carefulness, wariness, awareness, heedfulness, heed, attention, attentiveness, alertness, watchfulness, vigilance, circumspection, discretion, prudence, guardedness, chariness, forethought, mindfulness, caginess, warning, admonition, admonishment, injunction, monition, reprimand, rebuke, reproof, scolding, exhortation, guidance, caveat, counsel, telling-off, dressing-down, talking-to, ticking off"
11,certainty,"confidence, sureness, positiveness, conviction, certitude, reliability, assuredness, assurance, validity, conclusiveness, authoritativeness, truth, fact, factualness, inevitability, necessity, cert"
12,compassion,"pity, sympathy, feeling, empathy, understanding, care, concern, solicitude, solicitousness, sensitivity, tender-heartedness, soft-heartedness, warm-heartedness, warmth, love, tenderness, gentleness, mercy, mercifulness, leniency, lenience, tolerance, consideration, kindness, humanity, humaneness, kind-heartedness, charity, benevolence"
13,confidence,"trust, belief, faith, credence, conviction, reliance, dependence, self-assurance, self-confidence, self-reliance, assertiveness, self-possession, nerve, poise, aplomb, phlegm, positiveness, level-headedness, cool-headedness, firmness, courage, boldness, mettle, fortitude"
14,confusion,"uncertainty, unsureness, indecision, hesitation, hesitancy, scepticism, ignorance, doubt, incertitude, perplexity, shock, discomposure, muddle, dubiety, skeptism, bewilderment, disorientation, discomfiture, chaos, mayhem, mess, turmoil, disorder, disarray, disorganization, chaos, disorderliness, untidiness, bedlam, pandemonium, madness, havoc, tumult, commotion, disruption, unheaval, furore, frenzy, uproar, babel, hurly-burly, maelstrom, muddle, mess, shambles, anarchy, entropy, hullabaloo, jumble, muddle, mess, heap, tangle, entanglement, tumble, welter, litter, shambles, bewilderment, bafflement, perplexity, puzzlement, mystification, stupefaction, disorientation, befuddlement, muddle, discomfiture, discomposure, shock, daze, devastation, wonder, wonderment, astonishment, bamboozlement, discombobulation, disconcertment, disconcertion"
15,contentment,"contentedness, content, satisfaction, fulfilment, happiness, pleasure, cheerfulness, gladness, gratification, ease, comfort, restfulness, well-being, peace, equanimity, serenity, tranquillity, placidity, placidness, repletion, complacency, self-content"
16,courage,"audacity, bravery, daring, determination, endurance, fearlessness, firmness, fortitude, gallantry, grit, heroism, prowess, spirit, spunk, tenacity, valor, adventurousness, backbone, bravura, dash, dauntlessness, enterprise, gameness, guts, hardihood, intrepidity, mettle, nerve, pluck, power, pugnacity, rashness, recklessness, resolution, stoutheartedness, temerity, venturesomeness, adventuresomeness, lion-heartedness, elan"
17,curiosity,"inquisitiveness, interest, nosiness, peculiarity, oddity, strangeness, oddness, idiosyncrasy, unusualness, novelty, curio, rarity, wonder, marvel, phenomenon"
